StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1,2,3,4,Q1,Q2,Q3,Q4,Q5,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,1.	I have read and understood the information provided about this research study.,"2.	I understand that my participation in this study is entirely voluntary, and I can choose to withdraw at any point without any consequences.",3.	I understand that the information I provide will be kept confidential and that my personal identity will not be disclosed in any resulting publications or presentations.,"4.	I understand that by selecting ""Yes, I agree"" to these consent questions, I am providing my electronic consent to participate in the study.",1. What's your age?,What's your Gender,What's your educational level?,What's your occupation?,Frequency of Online Platform Usage,I am concerned about how much personal information online platforms collect from me.,I trust that my privacy is adequately protected on online platforms,The security of my personal data on online platforms often worries me.,I understand how online platforms use Big Data Analytics to collect personal information.,I trust that online service providers handle my personal data ethically.,I am comfortable with how my data is used in Big Data Analytics by online service providers.,I believe online service providers are clear about how they use Big Data Analytics.,I am aware of ethical issues involved in Big Data Analytics.,I feel well informed about my rights regarding data collected by online platforms using Big Data Analytics.,I know how to report concerns about unethical use of Big Data Analytics.,I believe the benefits of Big Data Analytics justify any privacy concerns.,Online platforms should limit their use of Big Data Analytics to better protect user privacy.,Public discussions and education about Big Data Analytics' privacy and ethics are important.
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}"
2023-11-16 22:26:50,2023-11-16 22:43:22,IP Address,5.66.113.187,100,992,True,2023-11-16 22:43:23,R_2rp7fExZiCQLNVG,,,,,51.5042,-0.2199,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Master's Degree,Employed Part-Time,Daily,A little,Extremely inadequate,Strongly disagree,Strongly disagree,Somewhat disagree,Extremely uncomfortable,Strongly disagree,Strongly disagree,,,Strongly disagree,Strongly agree,Strongly disagree
2023-11-16 22:45:47,2023-11-16 22:47:26,IP Address,5.66.113.187,100,98,True,2023-11-16 22:47:27,R_2CZHPyXKKdW2qCY,,,,,51.5042,-0.2199,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Female,Master's Degree,Employed Full-Time,Daily,A great deal,Neither adequate nor inadequate,Strongly agree,Strongly agree,Strongly agree,Extremely comfortable,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
2023-11-17 14:20:57,2023-11-17 14:21:51,IP Address,85.255.233.93,100,53,True,2023-11-17 14:21:52,R_3QDlWkzXu4VrY1Q,,,,,51.4964,-0.1224,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",55-64,Non-binary / third gender,No formal education,Homemaker,Never,None at all,Extremely inadequate,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat comfortable,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree
2023-11-18 01:44:52,2023-11-18 01:47:52,IP Address,31.205.133.67,100,179,True,2023-11-18 01:47:53,R_3eymMo2Tb5xl6Al,,,,,53.3858,-1.4616,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Male,Master's Degree,Student,Daily,None at all,Extremely inadequate,Strongly disagree,Strongly disagree,Strongly disagree,Neither comfortable nor uncomfortable,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
2023-11-19 18:22:59,2023-11-19 18:32:00,IP Address,31.205.133.73,100,540,True,2023-11-19 18:32:00,R_25LSQK98gNNxE4X,,,,,53.3858,-1.4616,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Male,Master's Degree,Employed Full-Time,Daily,A lot,Extremely inadequate,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat uncomfortable,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree
2023-11-21 08:34:08,2023-11-21 08:39:41,IP Address,148.252.133.17,100,332,True,2023-11-21 08:39:41,R_3gUgAxmqOl8zIKY,,,,,51.4964,-0.1224,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Bachelor's Degree,Employed Full-Time,Daily,A moderate amount,Somewhat adequate,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat comfortable,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree
2023-11-21 09:09:40,2023-11-21 09:16:49,IP Address,92.40.190.128,100,428,True,2023-11-21 09:16:50,R_3yCP1LvcDxlxLVf,,,,,52.9538,-1.1571,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",25-34,Female,Master's Degree,Student,Daily,A lot,Somewhat adequate,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat uncomfortable,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree
2023-11-21 18:11:49,2023-11-21 18:18:31,IP Address,176.25.46.157,100,401,True,2023-11-21 18:18:31,R_2WTgAtS34v2Y7T2,,,,,53.3858,-1.4616,anonymous,EN,"Yes, I agree","Yes, I agree","Yes, I agree","Yes, I agree",35-44,Female,Master's Degree,Employed Part-Time,Daily,A great deal,Neither adequate nor inadequate,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither comfortable nor uncomfortable,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
